key,notes,en,zh-Hans,zh-Hant,ja,ko,fr,de,es
"pack.03_pack_farmstead.description","Source English from Assets/Fortstack/Resources/Packs/03_Pack_Farmstead.asset. Non-English values are placeholders until reviewed.","Food loops, nutrient beds, and docile production units. Builds long-term ration stability.","食物循环、营养床和温顺生产单元。用于建立长期口粮稳定。","Food loops, nutrient beds, and docile production units. Builds long-term ration stability.","Food loops, nutrient beds, and docile production units. Builds long-term ration stability.","Food loops, nutrient beds, and docile production units. Builds long-term ration stability.","Food loops, nutrient beds, and docile production units. Builds long-term ration stability.","Food loops, nutrient beds, and docile production units. Builds long-term ration stability.","Food loops, nutrient beds, and docile production units. Builds long-term ration stability."
"pack.04_pack_heartymeals.name","Source English from Assets/Fortstack/Resources/Packs/04_Pack_HeartyMeals.asset. Non-English values are placeholders until reviewed.","Recovery Crate","恢复补给箱","Recovery Crate","Recovery Crate","Recovery Crate","Recovery Crate","Recovery Crate","Recovery Crate"
"pack.04_pack_heartymeals.description","Source English from Assets/Fortstack/Resources/Packs/04_Pack_HeartyMeals.asset. Non-English values are placeholders until reviewed.","Prepared meals and recovery components for hungry crews. Turns survival pressure into margin.","为饥饿队伍准备的餐食和恢复部件。把生存压力转化为余量。","Prepared meals and recovery components for hungry crews. Turns survival pressure into margin.","Prepared meals and recovery components for hungry crews. Turns survival pressure into margin.","Prepared meals and recovery components for hungry crews. Turns survival pressure into margin.","Prepared meals and recovery components for hungry crews. Turns survival pressure into margin.","Prepared meals and recovery components for hungry crews. Turns survival pressure into margin.","Prepared meals and recovery components for hungry crews. Turns survival pressure into margin."
"pack.05_pack_knowledge.name","Source English from Assets/Fortstack/Resources/Packs/05_Pack_Knowledge.asset. Non-English values are placeholders until reviewed.","Signal Crate","信号补给箱","Signal Crate","Signal Crate","Signal Crate","Signal Crate","Signal Crate","Signal Crate"
"pack.05_pack_knowledge.description","Source English from Assets/Fortstack/Resources/Packs/05_Pack_Knowledge.asset. Non-English values are placeholders until reviewed.","Archive hardware, relay parts, and blueprint-heavy draws. Use it to unlock smarter infrastructure.","档案硬件、继电部件和大量蓝图抽取。用它解锁更聪明的基础设施。","Archive hardware, relay parts, and blueprint-heavy draws. Use it to unlock smarter infrastructure.","Archive hardware, relay parts, and blueprint-heavy draws. Use it to unlock smarter infrastructure.","Archive hardware, relay parts, and blueprint-heavy draws. Use it to unlock smarter infrastructure.","Archive hardware, relay parts, and blueprint-heavy draws. Use it to unlock smarter infrastructure.","Archive hardware, relay parts, and blueprint-heavy draws. Use it to unlock smarter infrastructure.","Archive hardware, relay parts, and blueprint-heavy draws. Use it to unlock smarter infrastructure."
"pack.06_pack_blacksmith.name","Source English from Assets/Fortstack/Resources/Packs/06_Pack_Blacksmith.asset. Non-English values are placeholders until reviewed.","Armory Crate","军械补给箱","Armory Crate","Armory Crate","Armory Crate","Armory Crate","Armory Crate","Armory Crate"
"pack.06_pack_blacksmith.description","Source English from Assets/Fortstack/Resources/Packs/06_Pack_Blacksmith.asset. Non-English values are placeholders until reviewed.","Fabrication stock, weapons, and hostile field tests. Good when defense becomes cheaper than fear.","制造库存、武器和敌对现场测试。当防御比恐惧更便宜时很有用。","Fabrication stock, weapons, and hostile field tests. Good when defense becomes cheaper than fear.","Fabrication stock, weapons, and hostile field tests. Good when defense becomes cheaper than fear.","Fabrication stock, weapons, and hostile field tests. Good when defense becomes cheaper than fear.","Fabrication stock, weapons, and hostile field tests. Good when defense becomes cheaper than fear.","Fabrication stock, weapons, and hostile field tests. Good when defense becomes cheaper than fear.","Fabrication stock, weapons, and hostile field tests. Good when defense becomes cheaper than fear."
"pack.07_pack_adventure.name","Source English from Assets/Fortstack/Resources/Packs/07_Pack_Adventure.asset. Non-English values are placeholders until reviewed.","Blackout Expedition Crate","断电远征箱","Blackout Expedition Crate","Blackout Expedition Crate","Blackout Expedition Crate","Blackout Expedition Crate","Blackout Expedition Crate","Blackout Expedition Crate"
"pack.07_pack_adventure.description","Source English from Assets/Fortstack/Resources/Packs/07_Pack_Adventure.asset. Non-English values are placeholders until reviewed.","Risk-heavy sector access with threats and area cards. Sends the board into the dark for better salvage.","高风险的区域入口，包含威胁和区域卡。把棋盘送进黑暗，换取更好的回收物。","Risk-heavy sector access with threats and area cards. Sends the board into the dark for better salvage.","Risk-heavy sector access with threats and area cards. Sends the board into the dark for better salvage.","Risk-heavy sector access with threats and area cards. Sends the board into the dark for better salvage.","Risk-heavy sector access with threats and area cards. Sends the board into the dark for better salvage.","Risk-heavy sector access with threats and area cards. Sends the board into the dark for better salvage.","Risk-heavy sector access with threats and area cards. Sends the board into the dark for better salvage."
"pack.08_pack_construction.name","Source English from Assets/Fortstack/Resources/Packs/08_Pack_Construction.asset. Non-English values are placeholders until reviewed.","Infrastructure Crate","基础设施箱","Infrastructure Crate","Infrastructure Crate","Infrastructure Crate","Infrastructure Crate","Infrastructure Crate","Infrastructure Crate"
"pack.08_pack_construction.description","Source English from Assets/Fortstack/Resources/Packs/08_Pack_Construction.asset. Non-English values are placeholders until reviewed.","High-cost construction support for expanded district logistics. Heavy parts, generators, and storage lines.","高成本的建设支援，用于扩展街区物流。包含重型零件、发电机和仓储线。","High-cost construction support for expanded district logistics. Heavy parts, generators, and storage lines.","High-cost construction support for expanded district logistics. Heavy parts, generators, and storage lines.","High-cost construction support for expanded district logistics. Heavy parts, generators, and storage lines.","High-cost construction support for expanded district logistics. Heavy parts, generators, and storage lines.","High-cost construction support for expanded district logistics. Heavy parts, generators, and storage lines.","High-cost construction support for expanded district logistics. Heavy parts, generators, and storage lines."
"pack.10_pack_island.name","Source English from Assets/Fortstack/Resources/Packs/10_Pack_Island.asset. Non-English values are placeholders until reviewed.","Floodline Salvage Crate","洪线回收箱","Floodline Salvage Crate","Floodline Salvage Crate","Floodline Salvage Crate","Floodline Salvage Crate","Floodline Salvage Crate","Floodline Salvage Crate"
"pack.10_pack_island.description","Source English from Assets/Fortstack/Resources/Packs/10_Pack_Island.asset. Non-English values are placeholders until reviewed.","A remote-sector starter cache from the drowned edge of the city. Coolant, black coral, and hard rubble.","来自城市淹没边缘的远端区域起始缓存。包含冷却剂、黑珊瑚和坚硬碎石。","A remote-sector starter cache from the drowned edge of the city. Coolant, black coral, and hard rubble.","A remote-sector starter cache from the drowned edge of the city. Coolant, black coral, and hard rubble.","A remote-sector starter cache from the drowned edge of the city. Coolant, black coral, and hard rubble.","A remote-sector starter cache from the drowned edge of the city. Coolant, black coral, and hard rubble.","A remote-sector starter cache from the drowned edge of the city. Coolant, black coral, and hard rubble.","A remote-sector starter cache from the drowned edge of the city. Coolant, black coral, and hard rubble."
"pack.11_pack_survival.name","Source English from Assets/Fortstack/Resources/Packs/11_Pack_Survival.asset. Non-English values are placeholders until reviewed.","Emergency Survival Crate","紧急生存箱","Emergency Survival Crate","Emergency Survival Crate","Emergency Survival Crate","Emergency Survival Crate","Emergency Survival Crate","Emergency Survival Crate"
"pack.11_pack_survival.description","Source English from Assets/Fortstack/Resources/Packs/11_Pack_Survival.asset. Non-English values are placeholders until reviewed.","Cheap stabilization for failing runs. Basic salvage, coolant, and one reliable marker.","用于挽救失败局面的廉价稳定补给。基础回收物、冷却剂，以及一个可靠标记。","Cheap stabilization for failing runs. Basic salvage, coolant, and one reliable marker.","Cheap stabilization for failing runs. Basic salvage, coolant, and one reliable marker.","Cheap stabilization for failing runs. Basic salvage, coolant, and one reliable marker.","Cheap stabilization for failing runs. Basic salvage, coolant, and one reliable marker.","Cheap stabilization for failing runs. Basic salvage, coolant, and one reliable marker.","Cheap stabilization for failing runs. Basic salvage, coolant, and one reliable marker."
"card.card_fields.name","Source English from Assets/Fortstack/Resources/Cards/Areas/Card_Fields.asset. Non-English values are placeholders until reviewed.","Blackout Yard","断电工地","Blackout Yard","Blackout Yard","Blackout Yard","Blackout Yard","Blackout Yard","Blackout Yard"
"card.card_fields.description","Source English from Assets/Fortstack/Resources/Cards/Areas/Card_Fields.asset. Non-English values are placeholders until reviewed.","An open work yard under dead billboards. Good salvage, poor cover.","死寂广告牌下的露天工地。回收物不错，掩护很差。","An open work yard under dead billboards. Good salvage, poor cover.","An open work yard under dead billboards. Good salvage, poor cover.","An open work yard under dead billboards. Good salvage, poor cover.","An open work yard under dead billboards. Good salvage, poor cover.","An open work yard under dead billboards. Good salvage, poor cover.","An open work yard under dead billboards. Good salvage, poor cover."
"card.card_forest.name","Source English from Assets/Fortstack/Resources/Cards/Areas/Card_Forest.asset. Non-English values are placeholders until reviewed.","Relay Graveyard","中继墓场","Relay Graveyard","Relay Graveyard","Relay Graveyard","Relay Graveyard","Relay Graveyard","Relay Graveyard"
"card.card_forest.description","Source English from Assets/Fortstack/Resources/Cards/Areas/Card_Forest.asset. Non-English values are placeholders until reviewed.","A maze of fallen masts and live wire. Signals still move through it in bad shapes.","倒塌桅杆和通电线缆构成的迷宫。信号仍以糟糕的形态在其中流动。","A maze of fallen masts and live wire. Signals still move through it in bad shapes.","A maze of fallen masts and live wire. Signals still move through it in bad shapes.","A maze of fallen masts and live wire. Signals still move through it in bad shapes.","A maze of fallen masts and live wire. Signals still move through it in bad shapes.","A maze of fallen masts and live wire. Signals still move through it in bad shapes.","A maze of fallen masts and live wire. Signals still move through it in bad shapes."
"card.card_graveyard.name","Source English from Assets/Fortstack/Resources/Cards/Areas/Card_Graveyard.asset. Non-English values are placeholders until reviewed.","Memory Pit","记忆坑","Memory Pit","Memory Pit","Memory Pit","Memory Pit","Memory Pit","Memory Pit"
"card.card_graveyard.description","Source English from Assets/Fortstack/Resources/Cards/Areas/Card_Graveyard.asset. Non-English values are placeholders until reviewed.","A disposal trench for bodies, drives, and erased records. Some entries keep answering.","丢弃尸体、硬盘和抹除记录的壕沟。有些条目仍会回应。","A disposal trench for bodies, drives, and erased records. Some entries keep answering.","A disposal trench for bodies, drives, and erased records. Some entries keep answering.","A disposal trench for bodies, drives, and erased records. Some entries keep answering.","A disposal trench for bodies, drives, and erased records. Some entries keep answering.","A disposal trench for bodies, drives, and erased records. Some entries keep answering.","A disposal trench for bodies, drives, and erased records. Some entries keep answering."
"card.card_highlands.name","Source English from Assets/Fortstack/Resources/Cards/Areas/Card_Highlands.asset. Non-English values are placeholders until reviewed.","Dead Transit Line","死寂轨道线","Dead Transit Line","Dead Transit Line","Dead Transit Line","Dead Transit Line","Dead Transit Line","Dead Transit Line"
"card.card_highlands.description","Source English from Assets/Fortstack/Resources/Cards/Areas/Card_Highlands.asset. Non-English values are placeholders until reviewed.","An elevated rail corridor above the district. Fast routes, exposed fights.","街区上方的高架轨道走廊。路线很快，战斗也很暴露。","An elevated rail corridor above the district. Fast routes, exposed fights.","An elevated rail corridor above the district. Fast routes, exposed fights.","An elevated rail corridor above the district. Fast routes, exposed fights.","An elevated rail corridor above the district. Fast routes, exposed fights.","An elevated rail corridor above the district. Fast routes, exposed fights.","An elevated rail corridor above the district. Fast routes, exposed fights."
"card.card_ruins.name","Source English from Assets/Fortstack/Resources/Cards/Areas/Card_Ruins.asset. Non-English values are placeholders until reviewed.","Ruins Sector","废墟区","Ruins Sector","Ruins Sector","Ruins Sector","Ruins Sector","Ruins Sector","Ruins Sector"
"card.card_ruins.description","Source English from Assets/Fortstack/Resources/Cards/Areas/Card_Ruins.asset. Non-English values are placeholders until reviewed.","Collapsed megastructure blocks around the Last Kernel. Valuable systems are buried under hostile code.","Last Kernel 周边坍塌的巨构街区。宝贵系统被敌对代码埋在下面。","Collapsed megastructure blocks around the Last Kernel. Valuable systems are buried under hostile code.","Collapsed megastructure blocks around the Last Kernel. Valuable systems are buried under hostile code.","Collapsed megastructure blocks around the Last Kernel. Valuable systems are buried under hostile code.","Collapsed megastructure blocks around the Last Kernel. Valuable systems are buried under hostile code.","Collapsed megastructure blocks around the Last Kernel. Valuable systems are buried under hostile code.","Collapsed megastructure blocks around the Last Kernel. Valuable systems are buried under hostile code."
"card.card_recipe.name","Source English from Assets/Fortstack/Resources/Cards/Card_Recipe.asset. Non-English values are placeholders until reviewed.","Blueprint Packet","蓝图包","Blueprint Packet","Blueprint Packet","Blueprint Packet","Blueprint Packet","Blueprint Packet","Blueprint Packet"
"card.card_recipe.description","Source English from Assets/Fortstack/Resources/Cards/Card_Recipe.asset. Non-English values are placeholders until reviewed.","A compressed build plan for district fabrication. Drag it into memory before the next blackout.","一份压缩的街区制造计划。下次断电前，把它拖入记忆。","A compressed build plan for district fabrication. Drag it into memory before the next blackout.","A compressed build plan for district fabrication. Drag it into memory before the next blackout.","A compressed build plan for district fabrication. Drag it into memory before the next blackout.","A compressed build plan for district fabrication. Drag it into memory before the next blackout.","A compressed build plan for district fabrication. Drag it into memory before the next blackout.","A compressed build plan for district fabrication. Drag it into memory before the next blackout."
"card.card_baby.name","Source English from Assets/Fortstack/Resources/Cards/Characters/Card_Baby.asset. Non-English values are placeholders until reviewed.","Dependent","受抚养者","Dependent","Dependent","Dependent","Dependent","Dependent","Dependent"
"card.card_baby.description","Source English from Assets/Fortstack/Resources/Cards/Characters/Card_Baby.asset. Non-English values are placeholders until reviewed.","A district child under your protection. No output yet, but the future has weight.","受你保护的街区孩子。现在还没有产出，但未来本身有重量。","A district child under your protection. No output yet, but the future has weight.","A district child under your protection. No output yet, but the future has weight.","A district child under your protection. No output yet, but the future has weight.","A district child under your protection. No output yet, but the future has weight.","A district child under your protection. No output yet, but the future has weight.","A district child under your protection. No output yet, but the future has weight."
"card.card_mage.name","Source English from Assets/Fortstack/Resources/Cards/Characters/Card_Mage.asset. Non-English values are placeholders until reviewed.","Netrunner","网络奔行者","Netrunner","Netrunner","Netrunner","Netrunner","Netrunner","Netrunner"
"card.card_mage.description","Source English from Assets/Fortstack/Resources/Cards/Characters/Card_Mage.asset. Non-English values are placeholders until reviewed.","A field hacker who turns signal noise into weaponized breaches.","一名现场黑客，能把信号噪声转化为武器化入侵。","A field hacker who turns signal noise into weaponized breaches.","A field hacker who turns signal noise into weaponized breaches.","A field hacker who turns signal noise into weaponized breaches.","A field hacker who turns signal noise into weaponized breaches.","A field hacker who turns signal noise into weaponized breaches.","A field hacker who turns signal noise into weaponized breaches."
"card.card_ranger.name","Source English from Assets/Fortstack/Resources/Cards/Characters/Card_Ranger.asset. Non-English values are placeholders until reviewed.","Scavenger","清道夫","Scavenger","Scavenger","Scavenger","Scavenger","Scavenger","Scavenger"
"card.card_ranger.description","Source English from Assets/Fortstack/Resources/Cards/Characters/Card_Ranger.asset. Non-English values are placeholders until reviewed.","A sharp-eyed runner built for ranged work and salvage routes.","目光锐利的跑腿人，擅长远程作业和回收路线。","A sharp-eyed runner built for ranged work and salvage routes.","A sharp-eyed runner built for ranged work and salvage routes.","A sharp-eyed runner built for ranged work and salvage routes.","A sharp-eyed runner built for ranged work and salvage routes.","A sharp-eyed runner built for ranged work and salvage routes.","A sharp-eyed runner built for ranged work and salvage routes."
"card.card_villager.name","Source English from Assets/Fortstack/Resources/Cards/Characters/Card_Villager.asset. Non-English values are placeholders until reviewed.","Recruit","新募员","Recruit","Recruit","Recruit","Recruit","Recruit","Recruit"
"card.card_villager.description","Source English from Assets/Fortstack/Resources/Cards/Characters/Card_Villager.asset. Non-English values are placeholders until reviewed.","A district civilian pressed into service. Cheap, fragile, and necessary.","被征召服务的街区平民。便宜、脆弱，而且必要。","A district civilian pressed into service. Cheap, fragile, and necessary.","A district civilian pressed into service. Cheap, fragile, and necessary.","A district civilian pressed into service. Cheap, fragile, and necessary.","A district civilian pressed into service. Cheap, fragile, and necessary.","A district civilian pressed into service. Cheap, fragile, and necessary.","A district civilian pressed into service. Cheap, fragile, and necessary."
"card.card_warrior.name","Source English from Assets/Fortstack/Resources/Cards/Characters/Card_Warrior.asset. Non-English values are placeholders until reviewed.","Enforcer","执法者","Enforcer","Enforcer","Enforcer","Enforcer","Enforcer","Enforcer"
"card.card_warrior.description","Source English from Assets/Fortstack/Resources/Cards/Characters/Card_Warrior.asset. Non-English values are placeholders until reviewed.","A plated fighter for holding bad streets and breaking worse doors.","披甲战士，用来守住糟糕街道并破开更糟的门。","A plated fighter for holding bad streets and breaking worse doors.","A plated fighter for holding bad streets and breaking worse doors.","A plated fighter for holding bad streets and breaking worse doors.","A plated fighter for holding bad streets and breaking worse doors.","A plated fighter for holding bad streets and breaking worse doors.","A plated fighter for holding bad streets and breaking worse doors."
"card.card_acorn.name","Source English from Assets/Fortstack/Resources/Cards/Consumables/Card_Acorn.asset. Non-English values are placeholders until reviewed.","Volt Nut","伏特坚果","Volt Nut","Volt Nut","Volt Nut","Volt Nut","Volt Nut","Volt Nut"
"card.card_acorn.description","Source English from Assets/Fortstack/Resources/Cards/Consumables/Card_Acorn.asset. Non-English values are placeholders until reviewed.","A small energy seed from a cracked hydro rack. Better toasted than raw.","裂开的水培架上结出的小型能量种子。烤过比生吃好。","A small energy seed from a cracked hydro rack. Better toasted than raw.","A small energy seed from a cracked hydro rack. Better toasted than raw.","A small energy seed from a cracked hydro rack. Better toasted than raw.","A small energy seed from a cracked hydro rack. Better toasted than raw.","A small energy seed from a cracked hydro rack. Better toasted than raw.","A small energy seed from a cracked hydro rack. Better toasted than raw."
"card.card_apple.name","Source English from Assets/Fortstack/Resources/Cards/Consumables/Card_Apple.asset. Non-English values are placeholders until reviewed.","Synth Apple","合成苹果","Synth Apple","Synth Apple","Synth Apple","Synth Apple","Synth Apple","Synth Apple"
"card.card_apple.description","Source English from Assets/Fortstack/Resources/Cards/Consumables/Card_Apple.asset. Non-English values are placeholders until reviewed.","Clean fruit printed from old orchard templates. Small comfort, useful calories.","由旧果园模板打印出的洁净水果。小小慰藉，也有实用热量。","Clean fruit printed from old orchard templates. Small comfort, useful calories.","Clean fruit printed from old orchard templates. Small comfort, useful calories.","Clean fruit printed from old orchard templates. Small comfort, useful calories.","Clean fruit printed from old orchard templates. Small comfort, useful calories.","Clean fruit printed from old orchard templates. Small comfort, useful calories.","Clean fruit printed from old orchard templates. Small comfort, useful calories."
"card.card_bakedpotato.name","Source English from Assets/Fortstack/Resources/Cards/Consumables/Card_BakedPotato.asset. Non-English values are placeholders until reviewed.","Heated Starch","加热淀粉块","Heated Starch","Heated Starch","Heated Starch","Heated Starch","Heated Starch","Heated Starch"
"card.card_bakedpotato.description","Source English from Assets/Fortstack/Resources/Cards/Consumables/Card_BakedPotato.asset. Non-English values are placeholders until reviewed.","A hot block of dense carbohydrates. Not elegant, but it keeps workers upright.","一块热腾腾的高密度碳水。谈不上优雅，但能让工人站稳。","A hot block of dense carbohydrates. Not elegant, but it keeps workers upright.","A hot block of dense carbohydrates. Not elegant, but it keeps workers upright.","A hot block of dense carbohydrates. Not elegant, but it keeps workers upright.","A hot block of dense carbohydrates. Not elegant, but it keeps workers upright.","A hot block of dense carbohydrates. Not elegant, but it keeps workers upright.","A hot block of dense carbohydrates. Not elegant, but it keeps workers upright."
"card.card_berry.name","Source English from Assets/Fortstack/Resources/Cards/Consumables/Card_Berry.asset. Non-English values are placeholders until reviewed.","Ration Pack","口粮包","Ration Pack","Ration Pack","Ration Pack","Ration Pack","Ration Pack","Ration Pack"
"card.card_berry.description","Source English from Assets/Fortstack/Resources/Cards/Consumables/Card_Berry.asset. Non-English values are placeholders until reviewed.","Sealed calories from a supply cache. Basic fuel for another shift.","来自补给缓存的密封热量。下一班所需的基础燃料。","Sealed calories from a supply cache. Basic fuel for another shift.","Sealed calories from a supply cache. Basic fuel for another shift.","Sealed calories from a supply cache. Basic fuel for another shift.","Sealed calories from a supply cache. Basic fuel for another shift.","Sealed calories from a supply cache. Basic fuel for another shift.","Sealed calories from a supply cache. Basic fuel for another shift."
"card.card_coconut.name","Source English from Assets/Fortstack/Resources/Cards/Consumables/Card_Coconut.asset. Non-English values are placeholders until reviewed.","Coolant Pod","冷却剂舱","Coolant Pod","Coolant Pod","Coolant Pod","Coolant Pod","Coolant Pod","Coolant Pod"
"card.card_coconut.description","Source English from Assets/Fortstack/Resources/Cards/Consumables/Card_Coconut.asset. Non-English values are placeholders until reviewed.","A sealed fluid pod from flooded utility bays. Drinkable after filtering.","来自被淹公用舱的密封流体舱。过滤后可以饮用。","A sealed fluid pod from flooded utility bays. Drinkable after filtering.","A sealed fluid pod from flooded utility bays. Drinkable after filtering.","A sealed fluid pod from flooded utility bays. Drinkable after filtering.","A sealed fluid pod from flooded utility bays. Drinkable after filtering.","A sealed fluid pod from flooded utility bays. Drinkable after filtering.","A sealed fluid pod from flooded utility bays. Drinkable after filtering."
"card.card_egg.name","Source English from Assets/Fortstack/Resources/Cards/Consumables/Card_Egg.asset. Non-English values are placeholders until reviewed.","Protein Pod","蛋白舱","Protein Pod","Protein Pod","Protein Pod","Protein Pod","Protein Pod","Protein Pod"
"card.card_egg.description","Source English from Assets/Fortstack/Resources/Cards/Consumables/Card_Egg.asset. Non-English values are placeholders until reviewed.","Lab-grown protein in a brittle membrane. Stable enough for cooking.","包在脆膜里的实验室培养蛋白。稳定到足够用于烹饪。","Lab-grown protein in a brittle membrane. Stable enough for cooking.","Lab-grown protein in a brittle membrane. Stable enough for cooking.","Lab-grown protein in a brittle membrane. Stable enough for cooking.","Lab-grown protein in a brittle membrane. Stable enough for cooking.","Lab-grown protein in a brittle membrane. Stable enough for cooking.","Lab-grown protein in a brittle membrane. Stable enough for cooking."
"card.card_fruitsalad.name","Source English from Assets/Fortstack/Resources/Cards/Consumables/Card_FruitSalad.asset. Non-English values are placeholders until reviewed.","Mixed Rations","混合口粮","Mixed Rations","Mixed Rations","Mixed Rations","Mixed Rations","Mixed Rations","Mixed Rations"
"card.card_fruitsalad.description","Source English from Assets/Fortstack/Resources/Cards/Consumables/Card_FruitSalad.asset. Non-English values are placeholders until reviewed.","A compact meal assembled from clean produce. Efficient and easy to stack.","由洁净农产品组装成的紧凑餐食。高效，也容易堆叠。","A compact meal assembled from clean produce. Efficient and easy to stack.","A compact meal assembled from clean produce. Efficient and easy to stack.","A compact meal assembled from clean produce. Efficient and easy to stack.","A compact meal assembled from clean produce. Efficient and easy to stack.","A compact meal assembled from clean produce. Efficient and easy to stack.","A compact meal assembled from clean produce. Efficient and easy to stack."
"card.card_milk.name","Source English from Assets/Fortstack/Resources/Cards/Consumables/Card_Milk.asset. Non-English values are placeholders until reviewed.","Nutrient Milk","营养乳","Nutrient Milk","Nutrient Milk","Nutrient Milk","Nutrient Milk","Nutrient Milk","Nutrient Milk"
"card.card_milk.description","Source English from Assets/Fortstack/Resources/Cards/Consumables/Card_Milk.asset. Non-English values are placeholders until reviewed.","Cultured feedstock with enough minerals to blunt hunger.","含有足够矿物质的培养料液，能缓解饥饿。","Cultured feedstock with enough minerals to blunt hunger.","Cultured feedstock with enough minerals to blunt hunger.","Cultured feedstock with enough minerals to blunt hunger.","Cultured feedstock with enough minerals to blunt hunger.","Cultured feedstock with enough minerals to blunt hunger.","Cultured feedstock with enough minerals to blunt hunger."
"card.card_milkshake.name","Source English from Assets/Fortstack/Resources/Cards/Consumables/Card_Milkshake.asset. Non-English values are placeholders until reviewed.","Med Gel","医疗凝胶","Med Gel","Med Gel","Med Gel","Med Gel","Med Gel","Med Gel"
"card.card_milkshake.description","Source English from Assets/Fortstack/Resources/Cards/Consumables/Card_Milkshake.asset. Non-English values are placeholders until reviewed.","A cold recovery slurry for shock, burns, and empty stomachs.","冰冷的恢复浆液，用于休克、烧伤和空腹。","A cold recovery slurry for shock, burns, and empty stomachs.","A cold recovery slurry for shock, burns, and empty stomachs.","A cold recovery slurry for shock, burns, and empty stomachs.","A cold recovery slurry for shock, burns, and empty stomachs.","A cold recovery slurry for shock, burns, and empty stomachs.","A cold recovery slurry for shock, burns, and empty stomachs."
"card.card_omelette.name","Source English from Assets/Fortstack/Resources/Cards/Consumables/Card_Omelette.asset. Non-English values are placeholders until reviewed.","Protein Fold","蛋白卷","Protein Fold","Protein Fold","Protein Fold","Protein Fold","Protein Fold","Protein Fold"
"card.card_omelette.description","Source English from Assets/Fortstack/Resources/Cards/Consumables/Card_Omelette.asset. Non-English values are placeholders until reviewed.","Cooked protein with just enough texture to feel like food.","经过烹调的蛋白，口感刚好足以让它像食物。","Cooked protein with just enough texture to feel like food.","Cooked protein with just enough texture to feel like food.","Cooked protein with just enough texture to feel like food.","Cooked protein with just enough texture to feel like food.","Cooked protein with just enough texture to feel like food.","Cooked protein with just enough texture to feel like food."
"card.card_potato.name","Source English from Assets/Fortstack/Resources/Cards/Consumables/Card_Potato.asset. Non-English values are placeholders until reviewed.","Starch Root","淀粉根","Starch Root","Starch Root","Starch Root","Starch Root","Starch Root","Starch Root"
"card.card_potato.description","Source English from Assets/Fortstack/Resources/Cards/Consumables/Card_Potato.asset. Non-English values are placeholders until reviewed.","A hardy hydroponic tuber grown in dirty nutrient trays.","生长在肮脏营养托盘里的耐寒水培块茎。","A hardy hydroponic tuber grown in dirty nutrient trays.","A hardy hydroponic tuber grown in dirty nutrient trays.","A hardy hydroponic tuber grown in dirty nutrient trays.","A hardy hydroponic tuber grown in dirty nutrient trays.","A hardy hydroponic tuber grown in dirty nutrient trays.","A hardy hydroponic tuber grown in dirty nutrient trays."
"card.card_rawmeat.name","Source English from Assets/Fortstack/Resources/Cards/Consumables/Card_RawMeat.asset. Non-English values are placeholders until reviewed.","Printed Protein","打印蛋白","Printed Protein","Printed Protein","Printed Protein","Printed Protein","Printed Protein","Printed Protein"
"card.card_rawmeat.description","Source English from Assets/Fortstack/Resources/Cards/Consumables/Card_RawMeat.asset. Non-English values are placeholders until reviewed.","Fresh tissue from a cheap vat printer. Cook before morale notices.","廉价培养打印机吐出的新鲜组织。趁士气察觉前先煮熟。","Fresh tissue from a cheap vat printer. Cook before morale notices.","Fresh tissue from a cheap vat printer. Cook before morale notices.","Fresh tissue from a cheap vat printer. Cook before morale notices.","Fresh tissue from a cheap vat printer. Cook before morale notices.","Fresh tissue from a cheap vat printer. Cook before morale notices.","Fresh tissue from a cheap vat printer. Cook before morale notices."
"card.card_roastedacorn.name","Source English from Assets/Fortstack/Resources/Cards/Consumables/Card_RoastedAcorn.asset. Non-English values are placeholders until reviewed.","Toasted Volt Nut","烤伏特坚果","Toasted Volt Nut","Toasted Volt Nut","Toasted Volt Nut","Toasted Volt Nut","Toasted Volt Nut","Toasted Volt Nut"
"card.card_roastedacorn.description","Source English from Assets/Fortstack/Resources/Cards/Consumables/Card_RoastedAcorn.asset. Non-English values are placeholders until reviewed.","A toasted energy seed with a sharp chemical bite.","烤过的能量种子，带着刺鼻的化学咬劲。","A toasted energy seed with a sharp chemical bite.","A toasted energy seed with a sharp chemical bite.","A toasted energy seed with a sharp chemical bite.","A toasted energy seed with a sharp chemical bite.","A toasted energy seed with a sharp chemical bite.","A toasted energy seed with a sharp chemical bite."
"card.card_soup.name","Source English from Assets/Fortstack/Resources/Cards/Consumables/Card_Soup.asset. Non-English values are placeholders until reviewed.","District Broth","街区浓汤","District Broth","District Broth","District Broth","District Broth","District Broth","District Broth"
"card.card_soup.description","Source English from Assets/Fortstack/Resources/Cards/Consumables/Card_Soup.asset. Non-English values are placeholders until reviewed.","Hot water, protein scraps, and discipline. Enough to keep a crew moving.","热水、蛋白碎料和纪律。足够让一支队伍继续行动。","Hot water, protein scraps, and discipline. Enough to keep a crew moving.","Hot water, protein scraps, and discipline. Enough to keep a crew moving.","Hot water, protein scraps, and discipline. Enough to keep a crew moving.","Hot water, protein scraps, and discipline. Enough to keep a crew moving.","Hot water, protein scraps, and discipline. Enough to keep a crew moving.","Hot water, protein scraps, and discipline. Enough to keep a crew moving."
"card.card_steak.name","Source English from Assets/Fortstack/Resources/Cards/Consumables/Card_Steak.asset. Non-English values are placeholders until reviewed.","Searpack","煎烤蛋白包","Searpack","Searpack","Searpack","Searpack","Searpack","Searpack"
